CustomerID,LastPurchase,FirstPurchase,Frequency,Monetary,TotalItems,Recency,AvgOrderValue,PurchaseSpan
C10088,2023-10-07 14:00:00,2022-01-25 16:00:00,11,366.81,83,86,33.35,619
C10089,2023-09-20 17:00:00,2022-03-24 08:00:00,5,143.41,32,103,28.68,545
C10091,2023-03-26 14:00:00,2022-02-14 09:00:00,8,536.84,136,281,67.1,405
C10092,2023-08-10 19:00:00,2022-01-16 15:00:00,26,3409.08,543,144,131.12,571
C10093,2022-03-01 13:00:00,2022-03-01 13:00:00,1,34.3,10,671,34.3,0
C10094,2023-04-03 11:00:00,2022-08-13 18:00:00,3,119.55,30,273,39.85,232
C10095,2023-10-03 19:00:00,2022-04-23 20:00:00,6,634.58,98,90,105.76,527
C10096,2023-10-21 13:00:00,2022-01-18 15:00:00,28,3429.89,468,72,122.5,640
C10097,2023-08-23 16:00:00,2022-02-07 20:00:00,4,228.05,63,131,57.01,561
C10098,2023-09-24 15:00:00,2022-01-23 09:00:00,5,417.91,99,99,83.58,609
C10099,2023-02-14 15:00:00,2022-05-17 19:00:00,3,181.73,42,321,60.58,272
C10100,2022-01-24 12:00:00,2022-01-24 10:00:00,1,26.36,8,707,26.36,0
C10101,2023-06-14 20:00:00,2022-06-17 14:00:00,3,196.23,32,201,65.41,362
C10102,2023-05-30 20:00:00,2022-03-23 12:00:00,7,376.92,78,216,53.85,433
C10103,2023-11-19 18:00:00,2022-01-06 13:00:00,12,2785.81,294,43,232.15,682
C10104,2023-10-25 17:00:00,2022-01-25 09:00:00,13,2570.07,409,68,197.7,638
C10105,2023-01-15 17:00:00,2022-05-29 08:00:00,2,547.58,70,351,273.79,231
C10106,2023-12-18 18:00:00,2022-01-23 10:00:00,39,6233.69,885,14,159.84,694
C10107,2023-09-19 08:00:00,2022-01-13 12:00:00,6,761.39,93,104,126.9,613
C10108,2023-07-27 20:00:00,2022-06-01 17:00:00,4,506.69,60,158,126.67,421
C10109,2022-01-31 19:00:00,2022-01-31 19:00:00,1,133.8,10,700,133.8,0
C10110,2023-02-22 16:00:00,2022-07-07 13:00:00,4,161.3,39,313,40.33,230
C10111,2022-02-15 20:00:00,2022-02-15 12:00:00,1,210.23,28,685,210.23,0
C10112,2023-11-16 20:00:00,2022-04-13 09:00:00,15,1721.5,273,46,114.77,582
C10113,2022-04-23 20:00:00,2022-04-23 08:00:00,1,165.66,24,618,165.66,0
C10114,2023-11-05 14:00:00,2022-01-26 08:00:00,17,1949.1,347,57,114.65,648
C10115,2023-09-10 20:00:00,2022-01-17 08:00:00,4,569.2,97,113,142.3,601
C10116,2023-07-20 20:00:00,2023-07-20 17:00:00,1,29.13,7,165,29.13,0
C10117,2023-10-09 16:00:00,2022-01-04 10:00:00,26,2661.9,414,84,102.38,643
C10118,2023-10-20 08:00:00,2022-04-02 10:00:00,11,832.14,165,73,75.65,565
C10119,2022-09-27 19:00:00,2022-02-05 15:00:00,2,343.39,47,461,171.7,234
C10120,2023-05-25 17:00:00,2023-01-22 12:00:00,3,237.99,53,221,79.33,123
C10121,2023-07-12 18:00:00,2023-04-13 10:00:00,2,603.63,56,173,301.82,90
C10122,2023-08-11 19:00:00,2022-05-23 08:00:00,4,279.71,45,143,69.93,445
C10123,2023-04-10 19:00:00,2022-06-09 12:00:00,3,90.14,40,266,30.05,305
C10124,2023-09-27 10:00:00,2022-02-02 20:00:00,8,591.49,89,96,73.94,601
C10125,2023-11-01 20:00:00,2022-06-08 08:00:00,8,565.2,110,61,70.65,511
C10126,2023-10-03 12:00:00,2022-06-18 14:00:00,6,903.05,162,90,150.51,471
C10127,2022-03-09 18:00:00,2022-03-09 12:00:00,1,59.92,16,663,59.92,0
C10128,2023-07-10 17:00:00,2022-07-29 11:00:00,4,662.79,64,175,165.7,346
C10129,2023-10-06 19:00:00,2022-05-03 09:00:00,5,796.0,129,87,159.2,521
C10130,2023-09-08 18:00:00,2022-01-25 13:00:00,13,1795.51,274,115,138.12,591
C10131,2022-06-19 20:00:00,2022-01-12 08:00:00,2,338.54,59,561,169.27,158
C10132,2023-11-08 18:00:00,2022-06-07 12:00:00,5,248.66,36,54,49.73,519
C10133,2023-05-21 13:00:00,2022-03-23 16:00:00,3,207.31,38,225,69.1,423
C10134,2023-05-26 09:00:00,2022-02-22 10:00:00,3,735.13,46,220,245.04,457
C10135,2023-05-19 20:00:00,2023-02-10 17:00:00,3,164.46,22,227,54.82,98
C10136,2023-11-14 20:00:00,2022-01-01 08:00:00,25,3991.53,645,48,159.66,682
C10138,2022-05-24 17:00:00,2022-05-24 17:00:00,1,56.54,11,587,56.54,0
C10139,2023-06-06 19:00:00,2022-01-18 11:00:00,4,235.49,54,209,58.87,504
C10140,2023-08-12 18:00:00,2023-08-12 14:00:00,1,81.67,22,142,81.67,0
C10141,2022-02-21 11:00:00,2022-02-21 11:00:00,1,14.16,6,679,14.16,0
C10142,2023-05-17 19:00:00,2022-02-20 09:00:00,3,206.45,65,229,68.82,451
C10143,2023-11-06 20:00:00,2022-04-12 08:00:00,6,1086.03,146,56,181.0,573
C10144,2023-08-20 15:00:00,2022-01-01 09:00:00,4,453.74,64,134,113.44,596
C10145,2023-06-30 19:00:00,2022-01-08 10:00:00,6,591.88,150,185,98.65,538
C10146,2023-11-29 20:00:00,2022-01-12 10:00:00,13,829.75,208,33,63.83,686
C10147,2023-06-26 19:00:00,2022-04-17 14:00:00,3,216.36,17,189,72.12,435
C10148,2022-03-28 19:00:00,2022-03-28 08:00:00,1,102.48,29,644,102.48,0
C10149,2022-02-15 18:00:00,2022-02-15 11:00:00,1,139.57,28,685,139.57,0
C10150,2023-08-25 11:00:00,2022-05-06 17:00:00,6,942.39,121,129,157.06,475
C10151,2023-10-17 20:00:00,2022-04-22 10:00:00,13,765.2,170,76,58.86,543
C10152,2022-05-25 08:00:00,2022-05-25 08:00:00,1,124.92,12,586,124.92,0
C10153,2022-06-08 08:00:00,2022-06-08 08:00:00,1,17.71,7,572,17.71,0
C10154,2023-11-20 19:00:00,2022-01-04 08:00:00,47,6790.58,1191,42,144.48,685
C10155,2022-05-15 20:00:00,2022-05-15 10:00:00,1,83.71,32,596,83.71,0
C10157,2023-07-22 20:00:00,2022-02-08 11:00:00,4,248.02,42,163,62.0,529
C10158,2023-08-24 20:00:00,2022-01-25 08:00:00,5,445.44,94,130,89.09,576
C10159,2023-12-01 08:00:00,2022-01-09 14:00:00,7,321.96,49,31,45.99,690
C10160,2023-12-29 17:00:00,2022-01-08 15:00:00,27,1367.29,243,3,50.64,720
C10161,2023-07-08 16:00:00,2022-01-12 12:00:00,7,606.43,132,177,86.63,542
C10162,2022-03-10 20:00:00,2022-03-10 09:00:00,1,202.07,49,662,202.07,0
C10163,2023-10-18 12:00:00,2022-01-01 16:00:00,27,2278.47,340,75,84.39,654
C10164,2023-10-30 16:00:00,2022-02-02 15:00:00,12,1740.86,247,63,145.07,635
C10165,2023-11-19 15:00:00,2022-01-03 11:00:00,9,390.44,83,43,43.38,685
C10166,2023-09-22 20:00:00,2022-01-16 10:00:00,6,579.77,99,101,96.63,614
C10167,2022-02-05 18:00:00,2022-02-05 09:00:00,1,291.76,42,695,291.76,0
C10168,2023-09-10 20:00:00,2022-02-24 10:00:00,10,1201.05,219,113,120.1,563
C10169,2023-06-27 19:00:00,2022-03-03 11:00:00,5,554.58,114,188,110.92,481
C10170,2022-01-25 19:00:00,2022-01-25 18:00:00,1,36.19,7,706,36.19,0
C10171,2023-12-04 11:00:00,2022-01-11 09:00:00,12,527.02,122,28,43.92,692
C10172,2023-10-11 10:00:00,2022-03-16 17:00:00,7,611.33,108,82,87.33,573
C10173,2023-11-08 16:00:00,2022-01-07 13:00:00,15,1072.14,183,54,71.48,670
C10174,2023-12-19 19:00:00,2022-01-15 10:00:00,46,7471.58,1238,13,162.43,703
C10175,2023-11-22 20:00:00,2022-02-03 12:00:00,7,702.38,87,40,100.34,657
C10176,2023-10-14 10:00:00,2022-02-23 14:00:00,12,731.55,104,79,60.96,597
C10177,2023-10-24 14:00:00,2022-07-16 11:00:00,11,1130.67,224,69,102.79,465
C10179,2023-09-22 17:00:00,2022-02-16 08:00:00,18,3028.91,482,101,168.27,583
C10180,2023-08-02 13:00:00,2022-04-10 16:00:00,7,343.29,98,152,49.04,478
C10181,2022-08-12 18:00:00,2022-04-15 09:00:00,3,343.2,70,507,114.4,119
C10182,2023-10-15 18:00:00,2022-02-26 15:00:00,7,759.86,171,78,108.55,596
C10183,2023-09-01 15:00:00,2022-10-25 12:00:00,5,560.04,83,122,112.01,311
C10184,2023-11-08 09:00:00,2022-03-17 13:00:00,9,1012.31,153,54,112.48,600
C10186,2023-10-29 19:00:00,2022-03-22 08:00:00,17,2035.37,314,64,119.73,586
C10187,2023-03-18 11:00:00,2022-02-06 14:00:00,4,205.66,42,289,51.42,404
C10188,2023-11-02 18:00:00,2022-01-27 19:00:00,13,516.68,112,60,39.74,643
C10189,2022-05-11 16:00:00,2022-05-11 10:00:00,1,154.11,36,600,154.11,0
C10190,2022-06-20 17:00:00,2022-01-10 08:00:00,2,150.69,26,560,75.34,161
C10191,2023-08-09 16:00:00,2022-05-05 18:00:00,3,226.42,28,145,75.47,460
C10192,2023-11-12 20:00:00,2022-01-13 18:00:00,30,6085.5,810,50,202.85,668
C10193,2023-07-31 20:00:00,2022-06-08 15:00:00,2,413.59,33,154,206.8,418
C10194,2023-11-12 19:00:00,2022-08-24 09:00:00,5,423.68,37,50,84.74,445
C10196,2023-07-16 20:00:00,2022-05-22 11:00:00,3,746.15,76,169,248.72,420
C10197,2023-10-21 10:00:00,2022-03-03 09:00:00,8,1134.5,149,72,141.81,597
C10198,2023-10-30 19:00:00,2022-01-01 15:00:00,20,983.74,159,63,49.19,667
C10199,2023-08-31 17:00:00,2022-01-28 11:00:00,14,1086.16,189,123,77.58,580
C10200,2022-07-01 16:00:00,2022-06-14 14:00:00,2,164.57,5,549,82.28,17
C10201,2023-12-27 18:00:00,2022-01-16 10:00:00,22,1732.26,362,5,78.74,710
C10202,2022-08-27 20:00:00,2022-07-28 09:00:00,2,397.48,53,492,198.74,30
C10203,2023-09-24 19:00:00,2022-01-28 18:00:00,11,1158.67,223,99,105.33,604
C10205,2023-09-03 16:00:00,2022-01-10 11:00:00,10,1898.9,273,120,189.89,601
C10206,2023-10-13 15:00:00,2022-02-03 08:00:00,8,824.74,146,80,103.09,617
C10207,2023-03-02 14:00:00,2023-03-02 14:00:00,1,43.2,8,305,43.2,0
C10208,2023-10-07 20:00:00,2022-02-04 09:00:00,8,716.92,160,86,89.62,610
C10209,2023-04-27 19:00:00,2022-01-19 18:00:00,10,911.54,176,249,91.15,463
C10210,2022-03-31 17:00:00,2022-03-31 09:00:00,1,104.52,24,641,104.52,0
C10211,2022-02-23 16:00:00,2022-02-23 08:00:00,1,96.09,27,677,96.09,0
C10212,2023-10-18 11:00:00,2022-01-17 13:00:00,12,1231.46,213,75,102.62,638
C10213,2023-09-15 15:00:00,2022-01-10 19:00:00,12,288.1,79,108,24.01,612
C10214,2023-03-17 20:00:00,2022-01-03 09:00:00,5,1321.27,172,290,264.25,438
C10215,2023-11-05 08:00:00,2022-03-01 14:00:00,9,711.9,129,57,79.1,613
C10216,2023-12-09 14:00:00,2022-01-13 12:00:00,37,4652.08,784,23,125.73,695
C10217,2023-10-21 14:00:00,2022-02-23 12:00:00,13,913.84,161,72,70.3,605
C10218,2023-05-30 09:00:00,2022-02-25 18:00:00,2,120.12,9,216,60.06,458
C10219,2023-05-07 18:00:00,2022-10-24 11:00:00,3,176.17,26,239,58.72,195
C10220,2023-11-11 15:00:00,2022-01-29 11:00:00,12,577.76,85,51,48.15,651
C10221,2023-10-23 12:00:00,2022-03-25 12:00:00,10,715.04,114,70,71.5,577
C10222,2023-11-15 12:00:00,2022-08-12 11:00:00,13,1147.19,229,47,88.25,460
C10223,2023-09-04 10:00:00,2023-02-25 10:00:00,2,106.61,12,119,53.3,191
C10224,2023-11-01 19:00:00,2022-01-27 08:00:00,30,3975.87,650,61,132.53,643
C10225,2023-12-01 14:00:00,2022-02-12 10:00:00,12,1167.26,209,31,97.27,657
C10226,2022-05-22 20:00:00,2022-03-10 12:00:00,2,460.08,62,589,230.04,73
C10227,2023-02-20 09:00:00,2022-01-09 09:00:00,4,391.91,91,315,97.98,407
C10228,2023-01-30 19:00:00,2022-03-19 11:00:00,3,441.67,62,336,147.22,317
C10229,2023-12-31 20:00:00,2022-03-29 11:00:00,7,1316.14,193,1,188.02,642
C10230,2023-11-29 19:00:00,2022-01-09 09:00:00,37,2676.24,500,33,72.33,689
C10231,2023-12-16 19:00:00,2022-01-26 12:00:00,13,1407.6,297,16,108.28,689
C10232,2023-03-11 19:00:00,2022-01-30 15:00:00,3,183.25,41,296,61.08,405
C10234,2022-05-09 12:00:00,2022-05-09 10:00:00,1,82.06,6,602,82.06,0
C10235,2023-10-28 11:00:00,2022-02-09 10:00:00,8,1233.21,163,65,154.15,626
C10236,2023-07-23 20:00:00,2022-02-05 08:00:00,2,311.99,42,162,156.0,533
C10237,2023-07-15 16:00:00,2022-04-11 09:00:00,10,922.48,155,170,92.25,460
C10238,2023-01-25 15:00:00,2022-02-17 11:00:00,6,663.6,97,341,110.6,342
C10239,2022-04-27 15:00:00,2022-04-27 13:00:00,1,197.81,19,614,197.81,0
C10240,2023-11-10 19:00:00,2022-04-08 11:00:00,22,1534.04,312,52,69.73,581
C10241,2023-11-17 17:00:00,2022-01-08 17:00:00,26,2319.04,368,45,89.19,678
C10242,2023-07-27 09:00:00,2022-02-23 17:00:00,15,1672.46,365,158,111.5,518
C10243,2023-10-01 19:00:00,2022-01-03 18:00:00,32,2194.87,367,92,68.59,636
C10244,2023-12-06 19:00:00,2022-03-27 08:00:00,13,1316.25,254,26,101.25,619
C10245,2023-06-24 14:00:00,2022-06-10 15:00:00,4,201.91,33,191,50.48,378
C10246,2023-10-17 20:00:00,2022-05-29 09:00:00,6,574.06,129,76,95.68,506
C10247,2022-03-29 15:00:00,2022-03-29 13:00:00,1,66.06,19,643,66.06,0
C10249,2023-10-19 19:00:00,2022-01-03 09:00:00,15,1947.23,274,74,129.82,654
C10250,2023-10-24 18:00:00,2022-01-20 10:00:00,12,1786.81,249,69,148.9,642
C10251,2023-07-09 13:00:00,2022-03-03 08:00:00,14,815.94,109,176,58.28,493
C10252,2023-08-17 09:00:00,2022-05-26 19:00:00,5,236.49,71,137,47.3,447
C10253,2023-08-09 12:00:00,2022-02-18 15:00:00,5,715.98,118,145,143.2,536
C10254,2023-08-24 17:00:00,2022-02-14 08:00:00,3,1032.62,65,130,344.21,556
C10255,2023-09-16 09:00:00,2022-01-11 09:00:00,16,2764.83,356,107,172.8,613
C10256,2023-05-16 19:00:00,2022-01-04 18:00:00,3,72.39,27,230,24.13,497
C10257,2023-08-10 19:00:00,2022-05-26 13:00:00,8,1256.84,245,144,157.1,441
C10258,2023-12-29 18:00:00,2022-04-13 16:00:00,13,1536.25,239,3,118.17,625
C10261,2023-11-19 15:00:00,2022-01-01 08:00:00,36,3451.85,445,43,95.88,687
C10262,2022-03-06 20:00:00,2022-03-06 20:00:00,1,5.2,4,666,5.2,0
C10263,2023-07-30 20:00:00,2022-01-10 08:00:00,4,947.36,119,155,236.84,566
C10264,2022-03-25 18:00:00,2022-03-25 08:00:00,1,207.22,36,647,207.22,0
C10265,2023-08-21 19:00:00,2022-09-16 08:00:00,5,767.63,96,133,153.53,339
C10266,2023-10-26 18:00:00,2022-02-26 11:00:00,13,904.49,164,67,69.58,607
C10267,2023-12-27 17:00:00,2022-02-22 12:00:00,34,3793.86,589,5,111.58,673
C10268,2023-12-27 13:00:00,2022-01-19 09:00:00,15,1774.25,325,5,118.28,707
C10269,2022-11-18 12:00:00,2022-09-01 09:00:00,2,200.59,30,409,100.3,78
C10270,2023-08-01 20:00:00,2022-09-29 16:00:00,4,357.9,38,153,89.48,306
C10271,2023-12-24 19:00:00,2022-05-10 08:00:00,11,1308.77,165,8,118.98,593
C10272,2023-12-17 17:00:00,2022-01-04 10:00:00,43,6682.72,1022,15,155.41,712
C10274,2022-04-04 20:00:00,2022-04-04 08:00:00,1,150.35,31,637,150.35,0
C10275,2023-04-15 10:00:00,2022-01-22 13:00:00,5,903.68,143,261,180.74,447
C10276,2023-10-22 12:00:00,2022-01-23 10:00:00,14,717.11,149,71,51.22,637
C10277,2023-03-17 18:00:00,2022-01-29 10:00:00,6,523.39,103,290,87.23,412
C10278,2023-12-14 19:00:00,2022-01-06 11:00:00,29,2563.39,492,18,88.39,707
C10279,2022-03-03 15:00:00,2022-03-03 09:00:00,1,70.29,10,669,70.29,0
C10280,2023-10-25 19:00:00,2022-01-02 14:00:00,40,6281.25,899,68,157.03,661
C10281,2023-07-31 19:00:00,2022-02-13 15:00:00,5,501.82,111,154,100.36,533
C10282,2023-11-05 15:00:00,2022-01-21 08:00:00,9,1629.67,265,57,181.07,653
C10283,2023-02-04 18:00:00,2022-01-01 08:00:00,4,268.25,53,331,67.06,399
C10284,2023-09-12 19:00:00,2022-01-07 12:00:00,5,925.17,155,111,185.03,613
C10285,2022-02-02 16:00:00,2022-02-02 16:00:00,1,18.56,8,698,18.56,0
C10286,2023-07-22 20:00:00,2022-02-17 11:00:00,9,1695.32,277,163,188.37,520
C10287,2023-10-22 20:00:00,2022-01-12 12:00:00,13,1023.2,193,71,78.71,648
C10288,2023-11-23 19:00:00,2022-02-07 20:00:00,17,886.67,161,39,52.16,653
C10290,2022-01-11 15:00:00,2022-01-11 08:00:00,1,34.04,8,720,34.04,0
C10291,2023-01-31 19:00:00,2022-03-31 11:00:00,2,319.03,69,335,159.51,306
C10292,2022-04-01 18:00:00,2022-02-24 09:00:00,3,235.61,72,640,78.54,36
C10293,2023-06-25 19:00:00,2023-04-27 09:00:00,3,124.78,31,190,41.59,59
C10294,2023-10-19 17:00:00,2022-01-12 14:00:00,15,1087.64,284,74,72.51,645
C10296,2023-09-02 14:00:00,2022-01-28 09:00:00,9,1509.38,207,121,167.71,582
C10297,2023-11-28 19:00:00,2022-02-17 16:00:00,12,1552.63,278,34,129.39,649
C10298,2023-06-18 10:00:00,2022-02-22 18:00:00,4,337.89,70,197,84.47,480
C10299,2023-11-18 16:00:00,2022-01-23 18:00:00,30,1937.98,260,44,64.6,663
C10300,2023-12-04 20:00:00,2022-02-07 12:00:00,11,756.51,125,28,68.77,665
C10301,2023-06-03 19:00:00,2022-05-18 10:00:00,3,310.17,67,212,103.39,381
C10302,2023-12-15 19:00:00,2022-02-06 14:00:00,28,1915.02,352,17,68.39,677
C10303,2023-07-20 19:00:00,2022-04-30 10:00:00,3,356.33,60,165,118.78,446
C10304,2023-04-07 16:00:00,2022-02-01 09:00:00,8,756.78,103,269,94.6,430
C10305,2023-11-08 12:00:00,2022-01-31 08:00:00,11,1127.07,209,54,102.46,646
C10306,2023-09-03 10:00:00,2022-01-27 11:00:00,4,420.56,43,120,105.14,583
C10307,2023-08-07 18:00:00,2022-03-06 09:00:00,6,279.38,51,147,46.56,519
C10308,2022-03-31 19:00:00,2022-01-25 14:00:00,3,253.41,54,641,84.47,65
C10309,2023-10-07 17:00:00,2022-01-22 19:00:00,4,318.13,73,86,79.53,622
C10310,2022-03-28 18:00:00,2022-03-28 18:00:00,1,30.69,11,644,30.69,0
C10311,2023-08-25 19:00:00,2022-04-30 19:00:00,5,694.41,107,129,138.88,482
C10312,2023-08-31 12:00:00,2022-02-06 10:00:00,5,816.56,82,123,163.31,571
C10314,2022-05-01 12:00:00,2022-01-17 13:00:00,2,32.61,14,610,16.3,103
C10315,2023-08-03 20:00:00,2022-01-30 15:00:00,7,540.25,68,151,77.18,550
C10316,2023-10-28 19:00:00,2022-01-12 10:00:00,15,2097.18,371,65,139.81,654
C10317,2023-11-27 20:00:00,2022-02-08 11:00:00,9,1259.11,169,35,139.9,657
C10318,2023-09-12 18:00:00,2022-01-04 10:00:00,5,514.92,64,111,102.98,616
