CustomerID,Frequency,Monetary,AvgOrderValue,PurchaseSpan,TotalItems,DaysSinceFirst,PurchaseRate,churned,Country_France,Country_Germany,Country_Netherlands,Country_Other,Country_United Kingdom,churn_probability,risk_level
C10038,5,226.17,45.23,448,61,642,0.2333,1,False,False,False,True,False,0.9986,High
C10039,4,798.44,199.61,326,95,523,0.229,1,False,False,False,False,True,0.998,High
C10040,5,474.97,94.99,620,105,672,0.2229,0,False,False,False,False,True,0.0018,Low
C10041,6,303.23,50.54,379,67,455,0.3947,0,False,False,False,False,True,0.0834,Low
C10042,6,278.66,46.44,550,40,664,0.2707,1,False,False,False,False,True,0.9942,High
C10043,11,1433.29,130.3,633,261,708,0.4654,0,False,False,False,False,True,0.0019,Low
C10044,14,1138.95,81.35,552,214,687,0.6105,1,False,False,False,True,False,0.9972,High
C10045,30,3432.6,114.42,621,562,688,1.3062,0,False,False,False,False,True,0.0047,Low
C10046,23,2327.89,101.21,623,245,701,0.9829,0,False,False,False,False,True,0.0084,Low
C10047,1,82.8,82.8,0,12,680,0.0441,1,False,False,False,False,True,1.0,High
C10048,6,139.75,23.29,570,41,727,0.2473,1,False,False,False,False,True,0.9996,High
C10049,1,81.78,81.78,0,20,701,0.0427,1,False,False,False,False,True,1.0,High
C10050,5,703.42,140.68,558,72,695,0.2155,1,False,False,False,False,True,0.9975,High
C10051,5,804.29,160.86,352,114,589,0.2542,1,False,False,False,False,True,0.9985,High
C10052,3,77.06,25.69,400,21,530,0.1695,1,True,False,False,False,False,0.9994,High
C10053,2,107.08,53.54,133,16,484,0.1237,1,False,False,False,False,True,0.9999,High
C10054,6,374.32,62.39,583,64,682,0.2635,1,False,False,False,False,True,0.9537,High
C10055,1,262.5,262.5,0,16,704,0.0426,1,False,False,False,True,False,1.0,High
C10056,5,737.64,147.53,548,108,721,0.2078,1,False,False,False,False,True,0.9999,High
C10058,1,65.07,65.07,0,17,721,0.0416,1,False,False,False,False,True,1.0,High
C10060,22,1713.46,77.88,654,333,722,0.9129,0,False,False,False,False,True,0.0002,Low
C10061,2,129.3,64.65,419,17,656,0.0913,1,False,True,False,False,False,1.0,High
C10063,9,1567.09,174.12,611,292,690,0.3907,0,True,False,False,False,False,0.0117,Low
C10064,18,1543.6,85.76,699,247,712,0.7574,0,True,False,False,False,False,0.0002,Low
C10065,3,242.85,80.95,292,47,638,0.1408,1,False,False,False,False,True,1.0,High
C10066,1,519.35,519.35,0,60,314,0.0952,1,False,True,False,False,False,0.9987,High
C10068,31,2251.51,72.63,713,393,729,1.274,0,False,False,False,True,False,0.0003,Low
C10069,4,248.58,62.14,273,54,630,0.1902,1,False,False,False,False,True,0.9999,High
C10070,11,1042.11,94.74,578,192,597,0.5518,0,False,False,False,False,True,0.006,Low
C10071,10,1423.13,142.31,552,261,651,0.4601,1,False,False,True,False,False,0.9484,High
C10072,9,503.14,55.9,591,76,630,0.4279,0,False,False,False,False,True,0.0054,Low
C10073,1,63.99,63.99,0,9,696,0.043,1,False,False,False,True,False,1.0,High
C10074,7,1015.71,145.1,627,181,721,0.2909,1,False,False,False,False,True,0.9941,High
C10075,2,279.82,139.91,125,48,726,0.0825,1,False,False,False,False,True,1.0,High
C10076,5,684.93,136.99,375,84,549,0.2727,1,False,False,False,False,True,0.9945,High
C10077,1,288.35,288.35,0,31,696,0.043,1,False,False,False,False,True,1.0,High
C10078,7,1245.31,177.9,545,217,628,0.3339,0,False,False,False,False,True,0.0782,Low
C10079,1,54.9,54.9,0,5,713,0.042,1,False,False,False,False,True,1.0,High
C10080,4,296.43,74.11,360,78,429,0.2791,0,False,False,False,False,True,0.0977,Low
C10081,9,988.69,109.85,610,69,725,0.3719,1,False,False,False,True,False,0.999,High
C10082,6,921.64,153.61,479,132,537,0.3346,0,False,False,False,False,True,0.058,Low
C10083,12,591.69,49.31,694,114,728,0.4938,0,False,False,False,False,True,0.0003,Low
C10084,2,309.99,155.0,398,76,528,0.1134,1,False,False,False,False,True,0.9997,High
C10085,5,186.06,37.21,115,59,367,0.4076,1,False,False,False,False,True,0.9899,High
C10086,9,937.24,104.14,685,214,723,0.3729,0,False,False,False,False,True,0.0003,Low
C10087,1,133.36,133.36,0,22,655,0.0457,1,False,False,True,False,False,1.0,High
C10088,11,366.81,33.35,619,83,705,0.4674,0,False,False,False,False,True,0.0339,Low
C10089,5,143.41,28.68,545,32,647,0.2315,1,False,False,False,True,False,0.9683,High
C10091,8,536.84,67.1,405,136,685,0.3499,1,False,False,False,True,False,0.9999,High
C10092,26,3409.08,131.12,571,543,714,1.0909,1,False,False,False,False,True,0.9988,High
C10093,1,34.3,34.3,0,10,670,0.0447,1,True,False,False,False,False,1.0,High
C10094,3,119.55,39.85,232,30,505,0.1779,1,False,False,False,True,False,0.9998,High
C10095,6,634.58,105.76,527,98,617,0.2913,1,False,False,False,False,True,0.8913,High
C10096,28,3429.89,122.5,640,468,712,1.1781,0,False,False,False,False,True,0.0002,Low
C10097,4,228.05,57.01,561,63,692,0.1732,1,False,False,False,True,False,0.9976,High
C10098,5,417.91,83.58,609,99,707,0.2119,1,False,False,False,False,True,0.9656,High
C10099,3,181.73,60.58,272,42,593,0.1515,1,False,False,False,False,True,1.0,High
C10100,1,26.36,26.36,0,8,706,0.0424,1,False,False,False,False,True,1.0,High
C10101,3,196.23,65.41,362,32,562,0.1599,1,False,False,False,False,True,0.9999,High
C10102,7,376.92,53.85,433,78,648,0.3236,1,False,False,False,False,True,0.9991,High
C10103,12,2785.81,232.15,682,294,724,0.4966,0,False,False,False,True,False,0.0002,Low
C10104,13,2570.07,197.7,638,409,705,0.5524,0,False,False,False,True,False,0.0001,Low
C10105,2,547.58,273.79,231,70,581,0.1031,1,False,True,False,False,False,0.9999,High
C10106,39,6233.69,159.84,694,885,707,1.6525,0,False,False,False,False,True,0.0001,Low
C10107,6,761.39,126.9,613,93,717,0.2507,1,False,False,False,True,False,0.9977,High
C10108,4,506.69,126.67,421,60,578,0.2073,1,False,False,False,False,True,0.9996,High
C10109,1,133.8,133.8,0,10,699,0.0429,1,False,False,False,True,False,1.0,High
C10110,4,161.3,40.33,230,39,542,0.221,1,False,False,False,True,False,0.999,High
C10111,1,210.23,210.23,0,28,684,0.0438,1,False,False,False,False,True,1.0,High
C10112,15,1721.5,114.77,582,273,627,0.7166,0,False,False,False,False,True,0.0071,Low
C10113,1,165.66,165.66,0,24,617,0.0485,1,False,False,False,False,True,1.0,High
C10114,17,1949.1,114.65,648,347,704,0.7234,0,False,False,False,False,True,0.0001,Low
C10115,4,569.2,142.3,601,97,713,0.1681,1,False,False,False,False,True,0.9997,High
C10116,1,29.13,29.13,0,7,164,0.1818,1,False,False,False,False,True,0.9997,High
C10117,26,2661.9,102.38,643,414,726,1.0729,0,False,False,False,False,True,0.0002,Low
C10118,11,832.14,75.65,565,165,638,0.5164,0,False,False,False,False,True,0.0214,Low
C10119,2,343.39,171.7,234,47,694,0.0863,1,False,True,False,False,False,1.0,High
C10120,3,237.99,79.33,123,53,343,0.2616,1,False,False,False,True,False,0.9982,High
C10121,2,603.63,301.82,90,56,262,0.2281,1,False,False,False,False,True,0.9829,High
C10122,4,279.71,69.93,445,45,587,0.2041,1,False,False,False,False,True,0.9991,High
C10123,3,90.14,30.05,305,40,570,0.1576,1,False,False,False,True,False,0.9999,High
C10124,8,591.49,73.94,601,89,697,0.3438,1,False,False,False,False,True,0.9723,High
C10125,8,565.2,70.65,511,110,571,0.4196,0,False,False,False,False,True,0.0117,Low
C10126,6,903.05,150.51,471,162,561,0.3203,1,False,False,False,True,False,0.9837,High
C10127,1,59.92,59.92,0,16,662,0.0452,1,False,False,False,False,True,1.0,High
C10128,4,662.79,165.7,346,64,520,0.2303,1,False,False,False,False,True,0.9948,High
C10129,5,796.0,159.2,521,129,607,0.2467,0,False,False,False,False,True,0.1679,Low
C10130,13,1795.51,138.12,591,274,705,0.5524,1,False,False,False,False,True,0.9965,High
C10131,2,338.54,169.27,158,59,718,0.0834,1,False,False,False,False,True,1.0,High
C10132,5,248.66,49.73,519,36,572,0.2618,0,False,False,False,True,False,0.0104,Low
C10133,3,207.31,69.1,423,38,648,0.1387,1,False,True,False,False,False,0.9999,High
C10134,3,735.13,245.04,457,46,677,0.1327,1,False,False,False,False,True,0.9999,High
C10135,3,164.46,54.82,98,22,324,0.2769,1,False,False,False,False,True,0.9984,High
C10136,25,3991.53,159.66,682,645,729,1.0274,0,False,False,False,True,False,0.0002,Low
C10138,1,56.54,56.54,0,11,586,0.0511,1,False,False,False,False,True,1.0,High
C10139,4,235.49,58.87,504,54,712,0.1683,1,False,True,False,False,False,0.9999,High
C10140,1,81.67,81.67,0,22,141,0.2113,1,False,False,False,False,True,0.9997,High
C10141,1,14.16,14.16,0,6,678,0.0442,1,False,False,False,False,True,1.0,High
C10142,3,206.45,68.82,451,65,679,0.1324,1,False,False,False,False,True,1.0,High
C10143,6,1086.03,181.0,573,146,628,0.2862,0,False,False,False,False,True,0.0164,Low
C10144,4,453.74,113.44,596,64,729,0.1644,1,False,False,False,False,True,0.9999,High
C10145,6,591.88,98.65,538,150,722,0.249,1,False,False,False,False,True,0.9999,High
C10146,13,829.75,63.83,686,208,718,0.5424,0,False,False,False,False,True,0.0002,Low
C10147,3,216.36,72.12,435,17,623,0.1442,1,False,False,False,True,False,0.9998,High
C10148,1,102.48,102.48,0,29,643,0.0466,1,False,False,False,False,True,1.0,High
C10149,1,139.57,139.57,0,28,684,0.0438,1,False,False,False,False,True,1.0,High
C10150,6,942.39,157.06,475,121,604,0.2975,1,False,False,False,False,True,0.9888,High
C10151,13,765.2,58.86,543,170,618,0.63,0,True,False,False,False,False,0.0191,Low
C10152,1,124.92,124.92,0,12,585,0.0512,1,False,False,False,False,True,1.0,High
C10153,1,17.71,17.71,0,7,571,0.0524,1,False,False,False,True,False,1.0,High
C10154,47,6790.58,144.48,685,1191,726,1.9395,0,False,False,False,False,True,0.0002,Low
C10155,1,83.71,83.71,0,32,595,0.0503,1,True,False,False,False,False,1.0,High
C10157,4,248.02,62.0,529,42,691,0.1734,1,False,False,False,False,True,0.9995,High
C10158,5,445.44,89.09,576,94,705,0.2125,1,False,False,False,False,True,0.9984,High
C10159,7,321.96,45.99,690,49,721,0.2909,0,True,False,False,False,False,0.0006,Low
C10160,27,1367.29,50.64,720,243,722,1.1203,0,False,False,False,False,True,0.0003,Low
C10161,7,606.43,86.63,542,132,718,0.2921,1,False,False,False,False,True,0.9997,High
C10162,1,202.07,202.07,0,49,661,0.0453,1,False,False,False,False,True,1.0,High
C10163,27,2278.47,84.39,654,340,729,1.1096,0,False,True,False,False,False,0.0002,Low
C10164,12,1740.86,145.07,635,247,697,0.5158,0,False,False,False,False,True,0.0013,Low
C10165,9,390.44,43.38,685,83,727,0.3709,0,False,False,False,True,False,0.0005,Low
C10166,6,579.77,96.63,614,99,714,0.2517,1,False,False,False,True,False,0.9969,High
C10167,1,291.76,291.76,0,42,694,0.0432,1,False,False,False,False,True,1.0,High
C10168,10,1201.05,120.1,563,219,675,0.4438,1,False,False,False,True,False,0.995,High
C10169,5,554.58,110.92,481,114,668,0.2242,1,False,False,False,False,True,0.9989,High
C10170,1,36.19,36.19,0,7,705,0.0425,1,False,False,False,True,False,1.0,High
C10171,12,527.02,43.92,692,122,719,0.5,0,False,False,False,False,True,0.0003,Low
C10172,7,611.33,87.33,573,108,655,0.3201,0,False,False,False,True,False,0.0545,Low
C10173,15,1072.14,71.48,670,183,723,0.6215,0,False,False,False,True,False,0.0003,Low
C10174,46,7471.58,162.43,703,1238,715,1.9274,0,False,False,False,False,True,0.0001,Low
C10175,7,702.38,100.34,657,87,696,0.3013,0,False,False,False,False,True,0.0001,Low
C10176,12,731.55,60.96,597,104,676,0.5318,0,False,False,False,False,True,0.0152,Low
C10177,11,1130.67,102.79,465,224,533,0.618,0,False,False,False,False,True,0.0165,Low
C10179,18,3028.91,168.27,583,482,683,0.7895,1,False,False,False,False,True,0.9469,High
C10180,7,343.29,49.04,478,98,630,0.3328,1,False,False,False,False,True,0.9904,High
C10181,3,343.2,114.4,119,70,625,0.1438,1,False,False,False,True,False,1.0,High
C10182,7,759.86,108.55,596,171,673,0.3116,0,False,False,False,True,False,0.0094,Low
C10183,5,560.04,112.01,311,83,432,0.3464,1,False,False,False,False,True,0.9643,High
C10184,9,1012.31,112.48,600,153,654,0.4122,0,False,False,False,False,True,0.0074,Low
C10186,17,2035.37,119.73,586,314,649,0.7846,0,False,False,False,False,True,0.0055,Low
C10187,4,205.66,51.42,404,42,693,0.1729,1,False,False,False,False,True,1.0,High
C10188,13,516.68,39.74,643,112,703,0.554,0,False,False,False,False,True,0.0002,Low
C10189,1,154.11,154.11,0,36,599,0.05,1,True,False,False,False,False,0.9999,High
C10190,2,150.69,75.34,161,26,720,0.0832,1,False,False,False,False,True,1.0,High
C10191,3,226.42,75.47,460,28,605,0.1485,1,False,False,False,True,False,0.9996,High
C10192,30,6085.5,202.85,668,810,717,1.2535,0,False,False,False,False,True,0.0001,Low
C10193,2,413.59,206.8,418,33,571,0.1049,1,True,False,False,False,False,0.9999,High
C10194,5,423.68,84.74,445,37,494,0.303,0,False,False,False,False,True,0.0767,Low
C10196,3,746.15,248.72,420,76,588,0.1528,1,False,False,False,False,True,0.9998,High
C10197,8,1134.5,141.81,597,149,668,0.3587,0,False,False,False,True,False,0.0083,Low
C10198,20,983.74,49.19,667,159,729,0.8219,0,False,False,False,False,True,0.0003,Low
C10199,14,1086.16,77.58,580,189,702,0.5974,1,False,False,False,False,True,0.9972,High
C10200,2,164.57,82.28,17,5,565,0.106,1,False,False,False,True,False,1.0,High
C10201,22,1732.26,78.74,710,362,714,0.9231,0,False,False,False,False,True,0.0002,Low
C10202,2,397.48,198.74,30,53,521,0.1149,1,False,False,False,False,True,0.9999,High
C10203,11,1158.67,105.33,604,223,702,0.4694,1,True,False,False,False,False,0.9848,High
C10205,10,1898.9,189.89,601,273,720,0.4161,1,False,False,False,False,True,0.9987,High
C10206,8,824.74,103.09,617,146,696,0.3443,0,False,False,False,False,True,0.0224,Low
C10207,1,43.2,43.2,0,8,304,0.0984,1,False,False,False,False,True,0.9998,High
C10208,8,716.92,89.62,610,160,695,0.3448,0,False,False,False,False,True,0.0152,Low
C10209,10,911.54,91.15,463,176,711,0.4213,1,False,False,False,False,True,0.9999,High
C10210,1,104.52,104.52,0,24,640,0.0468,1,False,False,False,False,True,1.0,High
C10211,1,96.09,96.09,0,27,676,0.0443,1,False,False,False,False,True,1.0,High
C10212,12,1231.46,102.62,638,213,713,0.5042,0,False,False,False,False,True,0.0002,Low
C10213,12,288.1,24.01,612,79,720,0.4993,1,False,True,False,False,False,0.9955,High
C10214,5,1321.27,264.25,438,172,727,0.206,1,False,False,False,False,True,1.0,High
C10215,9,711.9,79.1,613,129,670,0.4024,0,False,False,False,False,True,0.0023,Low
C10216,37,4652.08,125.73,695,784,717,1.546,0,False,False,False,True,False,0.0002,Low
C10217,13,913.84,70.3,605,161,676,0.5761,0,False,False,False,False,True,0.0062,Low
C10218,2,120.12,60.06,458,9,674,0.0889,1,False,False,False,False,True,0.9999,High
C10219,3,176.17,58.72,195,26,433,0.2074,1,False,False,False,True,False,0.9997,High
C10220,12,577.76,48.15,651,85,701,0.5128,0,False,False,False,False,True,0.0002,Low
C10221,10,715.04,71.5,577,114,646,0.4637,0,False,False,False,True,False,0.0112,Low
C10222,13,1147.19,88.25,460,229,506,0.7692,0,False,False,False,False,True,0.0063,Low
C10223,2,106.61,53.3,191,12,309,0.1935,1,False,False,False,False,True,0.9998,High
C10224,30,3975.87,132.53,643,650,703,1.2784,0,False,False,True,False,False,0.0001,Low
C10225,12,1167.26,97.27,657,209,687,0.5233,0,False,False,False,False,True,0.0001,Low
C10226,2,460.08,230.04,73,62,661,0.0906,1,False,True,False,False,False,1.0,High
C10227,4,391.91,97.98,407,91,721,0.1662,1,False,False,False,False,True,1.0,High
C10228,3,441.67,147.22,317,62,652,0.1378,1,False,False,False,False,True,1.0,High
C10229,7,1316.14,188.02,642,193,642,0.3266,0,False,False,False,False,True,0.0001,Low
C10230,37,2676.24,72.33,689,500,721,1.5374,0,True,False,False,False,False,0.0002,Low
C10231,13,1407.6,108.28,689,297,704,0.5532,0,False,False,False,False,True,0.0002,Low
C10232,3,183.25,61.08,405,41,700,0.1284,1,False,False,False,False,True,1.0,High
C10234,1,82.06,82.06,0,6,601,0.0498,1,False,False,False,True,False,1.0,High
C10235,8,1233.21,154.15,626,163,690,0.3473,0,False,False,False,True,False,0.0019,Low
C10236,2,311.99,156.0,533,42,694,0.0863,1,False,False,False,True,False,0.9999,High
C10237,10,922.48,92.25,460,155,629,0.4762,1,False,False,False,False,True,0.9951,High
C10238,6,663.6,110.6,342,97,682,0.2635,1,False,False,False,True,False,0.9999,High
C10239,1,197.81,197.81,0,19,613,0.0489,1,False,False,False,False,True,1.0,High
C10240,22,1534.04,69.73,581,312,632,1.0427,0,False,False,False,False,True,0.006,Low
C10241,26,2319.04,89.19,678,368,722,1.0788,0,False,False,True,False,False,0.0002,Low
C10242,15,1672.46,111.5,518,365,676,0.6647,1,False,False,False,True,False,0.9978,High
C10243,32,2194.87,68.59,636,367,727,1.3187,1,False,False,False,False,True,0.9783,High
C10244,13,1316.25,101.25,619,254,644,0.6047,0,False,False,False,False,True,0.0007,Low
C10245,4,201.91,50.48,378,33,569,0.2105,1,False,False,False,False,True,0.9994,High
C10246,6,574.06,95.68,506,129,581,0.3093,0,False,False,False,False,True,0.0378,Low
C10247,1,66.06,66.06,0,19,642,0.0467,1,False,False,False,False,True,1.0,High
C10249,15,1947.23,129.82,654,274,727,0.6181,0,False,False,False,False,True,0.0003,Low
C10250,12,1786.81,148.9,642,249,710,0.5063,0,False,False,False,False,True,0.0002,Low
C10251,14,815.94,58.28,493,109,668,0.6278,1,False,False,False,False,True,0.9965,High
C10252,5,236.49,47.3,447,71,584,0.2564,1,False,False,False,False,True,0.985,High
C10253,5,715.98,143.2,536,118,681,0.2199,1,False,True,False,False,False,0.9984,High
C10254,3,1032.62,344.21,556,65,685,0.1312,1,False,True,False,False,False,0.9998,High
C10255,16,2764.83,172.8,613,356,719,0.6667,1,False,False,False,False,True,0.9966,High
C10256,3,72.39,24.13,497,27,726,0.1238,1,False,True,False,False,False,1.0,High
C10257,8,1256.84,157.1,441,245,584,0.4103,1,False,False,False,False,True,0.9807,High
C10258,13,1536.25,118.17,625,239,627,0.621,0,False,False,False,False,True,0.0005,Low
C10261,36,3451.85,95.88,687,445,729,1.4795,0,True,False,False,False,False,0.0001,Low
C10262,1,5.2,5.2,0,4,665,0.045,1,False,False,False,False,True,1.0,High
C10263,4,947.36,236.84,566,119,720,0.1664,1,False,False,False,False,True,0.9998,High
C10264,1,207.22,207.22,0,36,646,0.0464,1,False,False,False,False,True,1.0,High
C10265,5,767.63,153.53,339,96,471,0.3178,1,False,False,False,False,True,0.9752,High
C10266,13,904.49,69.58,607,164,673,0.5786,0,False,False,False,False,True,0.0025,Low
C10267,34,3793.86,111.58,673,589,677,1.5044,0,False,False,False,False,True,0.0001,Low
C10268,15,1774.25,118.28,707,325,711,0.632,0,False,False,False,False,True,0.0001,Low
C10269,2,200.59,100.3,78,30,486,0.1232,1,False,False,False,False,True,0.9999,High
C10270,4,357.9,89.48,306,38,458,0.2614,1,False,False,False,False,True,0.989,High
C10271,11,1308.77,118.98,593,165,600,0.5491,0,False,False,True,False,False,0.0018,Low
C10272,43,6682.72,155.41,712,1022,726,1.7744,0,False,False,False,False,True,0.0001,Low
C10274,1,150.35,150.35,0,31,636,0.0471,1,False,False,False,False,True,1.0,High
C10275,5,903.68,180.74,447,143,708,0.2116,1,False,False,False,False,True,1.0,High
C10276,14,717.11,51.22,637,149,707,0.5932,0,False,False,False,True,False,0.0002,Low
C10277,6,523.39,87.23,412,103,701,0.2564,1,False,True,False,False,False,1.0,High
C10278,29,2563.39,88.39,707,492,724,1.2,0,False,True,False,False,False,0.0002,Low
C10279,1,70.29,70.29,0,10,668,0.0448,1,False,False,False,False,True,1.0,High
C10280,40,6281.25,157.03,661,899,728,1.6461,0,False,False,False,False,True,0.0002,Low
C10281,5,501.82,100.36,533,111,686,0.2183,1,False,False,False,False,True,0.999,High
C10282,9,1629.67,181.07,653,265,709,0.3803,0,False,False,False,False,True,0.0003,Low
C10283,4,268.25,67.06,399,53,729,0.1644,1,False,False,False,False,True,1.0,High
C10284,5,925.17,185.03,613,155,723,0.2072,1,False,False,False,False,True,0.9993,High
C10285,1,18.56,18.56,0,8,697,0.043,1,False,False,False,False,True,1.0,High
C10286,9,1695.32,188.37,520,277,682,0.3953,1,False,False,True,False,False,0.9985,High
C10287,13,1023.2,78.71,648,193,718,0.5424,0,False,False,False,False,True,0.0003,Low
C10288,17,886.67,52.16,653,161,692,0.7359,0,False,False,False,False,True,0.0001,Low
C10290,1,34.04,34.04,0,8,719,0.0417,1,False,False,False,False,True,1.0,High
C10291,2,319.03,159.51,306,69,640,0.0936,1,False,False,False,False,True,1.0,High
C10292,3,235.61,78.54,36,72,675,0.1331,1,False,False,False,True,False,1.0,High
C10293,3,124.78,41.59,59,31,248,0.3614,1,False,False,False,False,True,0.9989,High
C10294,15,1087.64,72.51,645,284,718,0.6259,0,False,False,True,False,False,0.0002,Low
C10296,9,1509.38,167.71,582,207,702,0.3841,1,False,False,False,True,False,0.9973,High
C10297,12,1552.63,129.39,649,278,682,0.5271,0,False,False,False,False,True,0.0001,Low
C10298,4,337.89,84.47,480,70,677,0.177,1,False,False,False,False,True,0.9998,High
C10299,30,1937.98,64.6,663,260,707,1.2712,0,False,False,False,False,True,0.0001,Low
C10300,11,756.51,68.77,665,125,692,0.4762,0,False,False,False,True,False,0.0001,Low
C10301,3,310.17,103.39,381,67,592,0.1518,1,False,False,False,False,True,0.9999,High
C10302,28,1915.02,68.39,677,352,693,1.2104,0,False,False,False,False,True,0.0001,Low
C10303,3,356.33,118.78,446,60,610,0.1473,1,False,False,False,False,True,0.9998,High
C10304,8,756.78,94.6,430,103,698,0.3433,1,False,False,False,False,True,0.9999,High
C10305,11,1127.07,102.46,646,209,699,0.4714,0,False,False,False,False,True,0.0002,Low
C10306,4,420.56,105.14,583,43,703,0.1705,1,False,False,False,False,True,0.9992,High
C10307,6,279.38,46.56,519,51,665,0.2703,1,False,False,False,False,True,0.9968,High
C10308,3,253.41,84.47,65,54,705,0.1275,1,False,False,False,False,True,1.0,High
C10309,4,318.13,79.53,622,73,708,0.1693,0,False,False,False,False,True,0.0299,Low
C10310,1,30.69,30.69,0,11,643,0.0466,1,False,False,False,False,True,1.0,High
C10311,5,694.41,138.88,482,107,610,0.2455,1,False,False,False,False,True,0.992,High
C10312,5,816.56,163.31,571,82,693,0.2161,1,False,False,False,False,True,0.9974,High
C10314,2,32.61,16.3,103,14,713,0.084,1,False,False,False,False,True,1.0,High
C10315,7,540.25,77.18,550,68,700,0.2996,1,False,False,False,False,True,0.9985,High
C10316,15,2097.18,139.81,654,371,718,0.6259,0,False,True,False,False,False,0.0002,Low
C10317,9,1259.11,139.9,657,169,691,0.3902,0,False,False,False,False,True,0.0002,Low
C10318,5,514.92,102.98,616,64,726,0.2063,1,False,False,False,False,True,0.9994,High
C10319,17,1933.77,113.75,585,261,695,0.7328,1,False,False,False,True,False,0.995,High
C10320,15,3801.85,253.46,624,569,705,0.6374,0,False,False,False,False,True,0.0104,Low
C10321,3,332.07,110.69,622,72,717,0.1253,1,False,False,False,False,True,0.9957,High
C10322,9,1084.86,120.54,600,165,678,0.3976,0,False,False,False,False,True,0.012,Low
C10323,5,1028.37,205.67,242,126,541,0.2768,1,False,False,False,True,False,0.9988,High
C10324,39,5652.33,144.93,665,902,705,1.6572,0,False,False,False,False,True,0.0001,Low
C10325,39,4577.42,117.37,600,719,653,1.789,0,False,False,False,False,True,0.003,Low
C10326,6,551.74,91.96,419,114,551,0.3261,1,False,False,False,False,True,0.9968,High
C10327,9,474.58,52.73,613,68,685,0.3936,0,False,False,False,False,True,0.005,Low
C10328,4,715.25,178.81,482,129,610,0.1964,1,False,False,False,False,True,0.9985,High
C10329,10,588.67,58.87,679,86,725,0.4132,0,False,False,False,False,True,0.0002,Low
